Serial No.,Course ID,Course Name,Teacher Name,Teacher Rating,Teacher Friendliness,Course Difficulty,Teacher Teaching Skills,Number of Credits
1036,CSE3501,Information Security Analysis and Audit,Dr. parmeshwari,2,1,1,3,5
1037,CSE1004 ,Network and Communication,Dr. dal,1,5,0,4,2
1038,CSE4001 ,Parallel and Distributed Computing,Dr. aasmin,3,4,3,2,4
1039,CSE4011 ,Virtualization,Dr. chahat,5,4,4,4,3
1040,CSE1007 ,Java Programming,Dr. parmila,2,5,4,2,5
1041,CSE4011 ,Virtualization,Dr. mustak,1,5,4,3,5
1042,CSE3009 ,Internet of Things,Dr. kumara,2,1,2,5,2
1043,CSE3020 ,Data Visualization,Dr. jeevanlata,5,2,0,2,3
1044,CSE1003 ,Digital Logic and Design,Dr. navjat,4,1,4,1,5
1045,CSE3013 ,Artificial Intelligence,Dr. ranvir,4,3,3,5,4
1046,CSE3024 ,Web Mining,Dr. bhudhi,5,2,1,1,2
1047,CSE2012,Design and analysis of algorithms,Dr. anguri,2,2,0,1,2
1048,CSE4011 ,Virtualization,Dr. joohi,1,3,0,3,2
1049,CSE4022 ,Natural Language Processing,Dr. zhini,1,2,1,3,4
1050,CSE3006 ,Embedded System Design,Dr. ramrati,2,2,1,3,5
1051,MAT2002,Applications of Differential and Difference Equations,Dr. ambiya,3,4,1,4,2
1052,CSE3025 ,Large Scale Data Processing,Dr. badan,4,5,2,4,2
1053,CSE2004 ,Database Management Systems,Dr. peentu,5,5,2,2,4
1054,CSE2005 ,Operating Systems,Dr. roji,1,3,1,3,2
1055,CSE3001 ,Software Engineering,Dr. sazia,5,5,3,2,4
1056,CSE4011 ,Virtualization,Dr. jatin,4,4,0,5,2
1057,CSE2001 ,Computer Architecture and Organization,Dr. shanno,5,5,1,4,3
1058,CSE3021 ,Social and Information Networks,Dr. rasul,4,5,0,5,2
1059,CSE2011 ,Data Structures and Algorithms,Dr. anjrej,3,1,0,4,5
1060,CSE3024 ,Web Mining,Dr. sundga,1,2,2,2,3
1061,CSE3020 ,Data Visualization,Dr. sahaja,2,4,1,4,5
1062,CSE4004 ,Digital Forensics,Dr. laxita,1,2,3,5,5
1063,CSE3006 ,Embedded System Design,Dr. siza,1,3,3,2,4
1064,ECE3502,IoT Domain Analyst,Dr. vipul,2,4,1,5,4
1065,CSE3009 ,Internet of Things,Dr. gandharv,3,1,2,1,4
1066,CSE3021 ,Social and Information Networks,Dr. chet,4,2,3,1,5
1067,CSE4011 ,Virtualization,Dr. mandeep,2,2,1,4,3
1068,CSE2014,Compiler Design,Dr. vicky,5,5,2,1,4
1069,CSE3009 ,Internet of Things,Dr. govind,2,4,0,5,5
1070,CSE4020 ,Machine Learning,Dr. nipun,4,5,2,1,2
1071,CSE1003 ,Digital Logic and Design,Dr. ramprasad,1,2,2,3,3
1072,CSE3506,Essentials of Data Analytics,Dr. shispal,1,1,1,2,2
1073,CSE4001 ,Parallel and Distributed Computing,Dr. panchuram,3,1,3,3,4
1074,CSE4001 ,Parallel and Distributed Computing,Dr. arab,4,5,3,5,5
1075,ECE3501,IoT Fundamentals,Dr. moshad,2,5,2,2,3
1076,CSE2011 ,Data Structures and Algorithms,Dr. barkat,1,5,3,3,5
1077,CSE2011 ,Data Structures and Algorithms,Dr. anshuman,2,1,2,2,3
1078,CSE2004 ,Database Management Systems,Dr. upasna,4,5,0,4,5
1079,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. lavish,1,3,0,4,4
1080,CSE2023,Robotic Process Automation,Dr. bhulaee,5,3,1,5,3
1081,CSE2011 ,Data Structures and Algorithms,Dr. lokendra,2,2,4,3,5
1082,CSE2005 ,Operating Systems,Dr. satyvati,5,5,2,5,3
1083,CSE3502,Information Security Management,Dr. palvi,5,4,1,5,2
1084,CSE3025 ,Large Scale Data Processing,Dr. mangta,1,2,4,1,3
1085,CSE4011 ,Virtualization,Dr. rina,1,2,0,3,4
1086,MAT2002,Applications of Differential and Difference Equations,Dr. sumaila,3,1,2,5,3
1087,CSE3013 ,Artificial Intelligence,Dr. nasrudeen,4,4,1,2,2
1088,CSE2001 ,Computer Architecture and Organization,Dr. samayddin,3,5,3,5,3
1089,CSE1007 ,Java Programming,Dr. shobhit,2,3,1,5,5
1090,CSE4020 ,Machine Learning,Dr. koilu,5,3,3,3,3
1091,CSE3011 ,Robotics and its Applications,Dr. shaikh,4,4,5,2,5
1092,CSE4019 ,Image Processing,Dr. rajwati,5,5,1,3,5
1093,ECE3502,IoT Domain Analyst,Dr. dayaram,2,5,2,5,4
1094,CSE3501,Information Security Analysis and Audit,Dr. bheema,1,1,0,4,3
1095,CSE4019 ,Image Processing,Dr. nand,5,4,3,1,5
1096,CSE2001 ,Computer Architecture and Organization,Dr. parerna,4,1,1,2,2
1097,MAT3004 ,Applied Linear Algebra,Dr. menka,4,5,3,1,5
1098,CSE2005 ,Operating Systems,Dr. sofali,5,3,3,2,4
1099,CSE2006 ,Microprocessor and Interfacing,Dr. girraj,1,1,1,5,2
1100,CSE1007 ,Java Programming,Dr. chandrram,5,4,3,1,5
1101,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. girishchandra,3,4,0,1,4
1102,CSE1007 ,Java Programming,Dr. rakhee,3,4,5,4,5
1103,CSE2001 ,Computer Architecture and Organization,Dr. jatan,3,3,4,3,5
1104,CSE3020 ,Data Visualization,Dr. gunja,3,2,2,2,3
1105,MAT2002,Applications of Differential and Difference Equations,Dr. udi,4,3,1,2,2
1106,CSE4001 ,Parallel and Distributed Computing,Dr. hasbul,1,3,3,3,4
1107,MAT1014,Discrete Mathematics and Graph Theory,Dr. mairi,2,4,3,2,3
1108,CSE1004 ,Network and Communication,Dr. charu,4,1,2,2,3
1109,CSE2006 ,Microprocessor and Interfacing,Dr. rukhsar,2,1,1,3,3
1110,CSE3013 ,Artificial Intelligence,Dr. prkesh,4,4,4,2,5
1111,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. gunjan,1,1,1,4,3
1112,CSE3506,Essentials of Data Analytics,Dr. mishrilaal,4,1,4,4,4
1113,CSE3029 ,Game Programming,Dr. gunanidhi,3,5,2,2,2
1114,CSE4004 ,Digital Forensics,Dr. shkundla,5,3,1,2,2
1115,CSE3505,Foundations of Data Analytics,Dr. faujdar,3,4,1,3,3
1116,CSE4015 ,Human Computer Interaction,Dr. asho,3,4,2,4,3
1117,CSE3009 ,Internet of Things,Dr. mangal,2,3,2,1,2
1118,CSE4011 ,Virtualization,Dr. kranti,2,3,4,4,4
1119,CSE4011 ,Virtualization,Dr. nirmal,1,3,3,1,5
1120,MAT3004 ,Applied Linear Algebra,Dr. s/o,1,5,1,1,5
1121,MAT3004 ,Applied Linear Algebra,Dr. zoya,3,3,1,5,2
1122,CSE3025 ,Large Scale Data Processing,Dr. sukrita,4,3,1,5,3
1123,CSE3013 ,Artificial Intelligence,Dr. wasim,5,3,4,3,3
1124,CSE3025 ,Large Scale Data Processing,Dr. liyakat,2,5,3,1,4
1125,CSE3505,Foundations of Data Analytics,Dr. iema,5,2,1,2,4
1126,CSE1004 ,Network and Communication,Dr. khairu,3,1,3,2,5
1127,CSE2006 ,Microprocessor and Interfacing,Dr. ruchi,5,2,2,1,2
1128,CSE3013 ,Artificial Intelligence,Dr. alima,2,1,1,1,2
1129,CSE3021 ,Social and Information Networks,Dr. kartika,2,5,4,3,3
1130,CSE3021 ,Social and Information Networks,Dr. sidh,4,5,4,2,4
1131,CSE2001 ,Computer Architecture and Organization,Dr. shyan,4,3,3,3,4
1132,CSE2011 ,Data Structures and Algorithms,Dr. kesri,5,4,3,4,2
1133,CSE3020 ,Data Visualization,Dr. omendra,3,2,3,3,5
1134,CSE4015 ,Human Computer Interaction,Dr. sardhu,2,2,0,5,2
1135,CSE4019 ,Image Processing,Dr. siddharth,2,4,4,1,4
1136,CSE3009 ,Internet of Things,Dr. salim,5,2,1,3,3
1137,MAT2002,Applications of Differential and Difference Equations,Dr. lakhi,3,2,2,5,3
1138,CSE4001 ,Parallel and Distributed Computing,Dr. balveer,5,4,1,4,2
1139,CSE1003 ,Digital Logic and Design,Dr. babuddin,2,4,3,4,2
1140,CSE3006 ,Embedded System Design,Dr. rambir,3,4,1,2,2
1141,CSE2014,Compiler Design,Dr. tabasum,2,1,1,4,3
1142,CSE1003 ,Digital Logic and Design,Dr. adersen,5,3,0,5,2
1143,ECE3502,IoT Domain Analyst,Dr. fuljhadi,2,1,5,3,5
1144,CSE2001 ,Computer Architecture and Organization,Dr. amjat,4,3,2,4,4
1145,CSE4001 ,Parallel and Distributed Computing,Dr. atitaj,5,1,4,2,5
1146,CSE3001 ,Software Engineering,Dr. tushal,3,3,2,4,3
1147,CSE3024 ,Web Mining,Dr. forshan,3,4,0,4,3
1148,CSE3006 ,Embedded System Design,Dr. mathura,2,2,2,5,3
1149,CSE4014 ,High Performance Computing,Dr. hini,5,4,2,2,2
1150,CSE2011 ,Data Structures and Algorithms,Dr. irsad,2,3,2,3,2
1151,CSE3009 ,Internet of Things,Dr. sushree,2,4,0,5,5
1152,CSE4003 ,Cyber Security,Dr. anupam,3,5,2,3,5
1153,CSE3505,Foundations of Data Analytics,Dr. naulesh,4,5,1,4,2
1154,CSE3013 ,Artificial Intelligence,Dr. jamna,3,3,2,2,5
1155,CSE4004 ,Digital Forensics,Dr. manku,4,5,0,5,5
1156,CSE3021 ,Social and Information Networks,Dr. raghu,4,4,1,3,2
1157,CSE3001 ,Software Engineering,Dr. mudasar,2,3,2,3,2
1158,CSE4004 ,Digital Forensics,Dr. maksud,5,2,0,1,4
1159,CSE3018 ,Content Based Image and Video Retrieval,Dr. dipeeka,2,1,0,1,5
1160,CSE3029 ,Game Programming,Dr. frjana,1,5,1,4,3
1161,CSE2023,Robotic Process Automation,Dr. gheesa,3,4,2,3,2
1162,CSE2012,Design and analysis of algorithms,Dr. nayan,3,2,0,4,3
1163,CSE3001 ,Software Engineering,Dr. nahar,5,5,1,4,4
1164,CSE2023,Robotic Process Automation,Dr. ujjawal,2,4,2,2,4
1165,CSE3501,Information Security Analysis and Audit,Dr. munni,1,2,1,1,2
1166,CSE3021 ,Social and Information Networks,Dr. purva,2,2,3,2,3
1167,CSE2012,Design and analysis of algorithms,Dr. shrinath,4,5,1,4,4
1168,CSE4019 ,Image Processing,Dr. bilke,4,2,1,4,4
1169,CSE3501,Information Security Analysis and Audit,Dr. killo,4,3,0,3,4
1170,CSE4015 ,Human Computer Interaction,Dr. adi,1,5,4,2,4
1171,CSE2001 ,Computer Architecture and Organization,Dr. shabreen,2,2,1,2,3
1172,CSE1003 ,Digital Logic and Design,Dr. vipulander,1,1,3,5,4
1173,CSE3018 ,Content Based Image and Video Retrieval,Dr. kalish,4,5,1,4,2
1174,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. namra,3,4,5,5,5
1175,CSE2005 ,Operating Systems,Dr. faim,5,1,3,1,2
1176,CSE2013,Theory of Computation,Dr. dvndavva,5,3,2,5,5
1177,CSE2014,Compiler Design,Dr. shneha,5,1,4,5,5
1178,CSE3502,Information Security Management,Dr. pervinder,1,5,1,4,2
1179,MAT2002,Applications of Differential and Difference Equations,Dr. anuja,3,2,2,2,3
1180,CSE3011 ,Robotics and its Applications,Dr. ziyabul,3,1,0,3,2
1181,CSE3020 ,Data Visualization,Dr. madhu,5,3,2,5,2
1182,MAT3004 ,Applied Linear Algebra,Dr. bhup,2,1,0,1,5
1183,CSE1004 ,Network and Communication,Dr. ramdhin,5,2,0,1,2
1184,CSE3029 ,Game Programming,Dr. saleem,1,5,1,3,2
1185,CSE3501,Information Security Analysis and Audit,Dr. farhanaaz,5,5,2,1,4
1186,CSE3024 ,Web Mining,Dr. sudhir,5,4,3,3,3
1187,CSE1004 ,Network and Communication,Dr. geesa,3,2,2,2,2
1188,CSE1004 ,Network and Communication,Dr. punam,2,4,1,3,5
1189,ECE3501,IoT Fundamentals,Dr. bada,1,3,0,4,2
1190,CSE3024 ,Web Mining,Dr. shivangi,4,3,1,5,5
1191,CSE1007 ,Java Programming,Dr. avdesh,4,2,3,3,3
1192,CSE3501,Information Security Analysis and Audit,Dr. hajrat,5,1,0,2,4
1193,CSE3011 ,Robotics and its Applications,Dr. nandita,5,4,3,4,4
1194,CSE2001 ,Computer Architecture and Organization,Dr. khushnasiba,3,2,0,3,2
1195,CSE2013,Theory of Computation,Dr. sandha,5,2,2,4,5
1196,CSE3001 ,Software Engineering,Dr. vipul,1,3,5,2,4
1197,CSE3506,Essentials of Data Analytics,Dr. prasant,4,5,1,4,4
1198,CSE3501,Information Security Analysis and Audit,Dr. barti,2,1,1,5,3
1199,CSE2004 ,Database Management Systems,Dr. aishe,4,5,5,2,4
1200,CSE2013,Theory of Computation,Dr. peena,3,5,1,3,2
1201,CSE4020 ,Machine Learning,Dr. yusuf,5,5,3,2,4
1202,CSE3501,Information Security Analysis and Audit,Dr. gensingh,3,5,1,2,2
1203,CSE2001 ,Computer Architecture and Organization,Dr. asruddin,2,1,4,1,3
1204,CSE3009 ,Internet of Things,Dr. sugodh,5,2,3,5,4
1205,CSE2014,Compiler Design,Dr. syham,2,1,2,1,3
1206,CSE3021 ,Social and Information Networks,Dr. manit,5,4,1,2,4
1207,CSE3018 ,Content Based Image and Video Retrieval,Dr. gilbahar,3,2,3,1,5
1208,CSE2011 ,Data Structures and Algorithms,Dr. jayotli,1,3,4,4,4
1209,CSE3013 ,Artificial Intelligence,Dr. punkaj,1,2,4,3,5
1210,CSE3009 ,Internet of Things,Dr. radhesayam,3,5,3,4,2
1211,CSE3024 ,Web Mining,Dr. klu,4,4,1,2,3
1212,CSE2013,Theory of Computation,Dr. lawrence,1,5,2,5,3
1213,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. chandani,4,1,2,4,4
1214,CSE3013 ,Artificial Intelligence,Dr. nehal,5,5,2,1,2
1215,CSE3505,Foundations of Data Analytics,Dr. nibo,3,4,0,4,3
1216,ECE3502,IoT Domain Analyst,Dr. karuna,3,1,2,3,3
1217,CSE3009 ,Internet of Things,Dr. savan,2,2,4,4,5
1218,CSE2006 ,Microprocessor and Interfacing,Dr. suraiya,1,3,0,4,3
1219,CSE2006 ,Microprocessor and Interfacing,Dr. rabita,3,4,4,1,5
1220,CSE3011 ,Robotics and its Applications,Dr. arati,2,5,2,1,5
1221,CSE4001 ,Parallel and Distributed Computing,Dr. shaid,3,3,1,5,2
1222,CSE2011 ,Data Structures and Algorithms,Dr. brijpal,4,2,5,5,5
1223,MAT2002,Applications of Differential and Difference Equations,Dr. abdullah,1,2,3,5,3
1224,CSE4015 ,Human Computer Interaction,Dr. nizam,3,2,2,1,5
1225,CSE2012,Design and analysis of algorithms,Dr. khubchand,2,5,1,3,2
1226,CSE3013 ,Artificial Intelligence,Dr. fhaishal,5,3,1,4,5
1227,CSE1007 ,Java Programming,Dr. khush,4,5,4,4,5
1228,CSE4003 ,Cyber Security,Dr. isha,1,4,4,2,5
1229,CSE2023,Robotic Process Automation,Dr. gulsan,4,4,2,3,3
1230,CSE3013 ,Artificial Intelligence,Dr. sujal,5,5,0,4,2
1231,CSE3024 ,Web Mining,Dr. ashiqu,4,2,1,4,5
1232,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. saidas,5,1,1,1,3
1233,CSE3011 ,Robotics and its Applications,Dr. dhaney,3,4,1,4,4
1234,CSE4011 ,Virtualization,Dr. radhe,5,1,1,3,3
1235,CSE2014,Compiler Design,Dr. arvinder,2,5,3,2,5
1236,CSE4003 ,Cyber Security,Dr. kohinoor,3,3,2,2,5
1237,CSE2011 ,Data Structures and Algorithms,Dr. moinuddin,4,2,2,5,5
1238,CSE1003 ,Digital Logic and Design,Dr. alijan,3,2,2,1,3
1239,CSE3025 ,Large Scale Data Processing,Dr. radhab,2,2,1,4,4
1240,CSE2004 ,Database Management Systems,Dr. maya,4,3,1,5,4
1241,CSE1007 ,Java Programming,Dr. kartika,2,1,2,4,3
1242,CSE3013 ,Artificial Intelligence,Dr. manjar,5,1,1,2,3
1243,CSE2005 ,Operating Systems,Dr. shahwaj,5,1,1,3,4
1244,CSE3025 ,Large Scale Data Processing,Dr. aphsana,5,2,1,1,2
1245,CSE2011 ,Data Structures and Algorithms,Dr. chorag,4,5,0,5,3
1246,CSE3505,Foundations of Data Analytics,Dr. khangara,4,4,5,4,5
1247,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. roopa,4,1,0,4,4
1248,CSE3020 ,Data Visualization,Dr. para,1,1,3,3,3
1249,CSE4019 ,Image Processing,Dr. mema,4,3,3,2,3
1250,CSE3025 ,Large Scale Data Processing,Dr. alahbasri,3,2,0,1,3
1251,CSE2006 ,Microprocessor and Interfacing,Dr. samundri,4,2,3,5,5
1252,CSE3024 ,Web Mining,Dr. shanaj,3,2,3,1,4
1253,CSE4022 ,Natural Language Processing,Dr. istkhar,5,2,1,4,2
1254,CSE3501,Information Security Analysis and Audit,Dr. sheelu,3,5,2,5,5
1255,CSE3021 ,Social and Information Networks,Dr. kumresh,4,1,0,3,3
1256,CSE2006 ,Microprocessor and Interfacing,Dr. rati,5,4,0,5,3
1257,CSE1007 ,Java Programming,Dr. akshpaat,5,1,1,3,2
1258,ECE3502,IoT Domain Analyst,Dr. nameeta,3,5,2,1,2
1259,CSE3501,Information Security Analysis and Audit,Dr. mul,3,5,4,4,3
1260,CSE1003 ,Digital Logic and Design,Dr. ramlakhan,5,4,4,3,5
1261,CSE2012,Design and analysis of algorithms,Dr. paru,2,1,5,4,5
1262,CSE3025 ,Large Scale Data Processing,Dr. mudasar,4,5,3,5,5
1263,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. vineeta,1,2,1,5,4
1264,CSE3505,Foundations of Data Analytics,Dr. palvinder,4,2,2,2,4
1265,CSE3018 ,Content Based Image and Video Retrieval,Dr. aniket,3,4,5,4,4
1266,CSE4015 ,Human Computer Interaction,Dr. kareshan,4,5,3,4,2
1267,CSE3020 ,Data Visualization,Dr. jhuhi,1,5,2,5,5
1268,CSE3002 ,Internet and Web Programming,Dr. dhanpat,3,5,5,5,5
1269,CSE4001 ,Parallel and Distributed Computing,Dr. amijan,2,1,5,1,5
1270,CSE4014 ,High Performance Computing,Dr. parmanand,1,3,2,2,4
1271,CSE4015 ,Human Computer Interaction,Dr. mohad,2,1,0,2,5
1272,CSE2004 ,Database Management Systems,Dr. mahlikka,4,4,1,5,4
1273,CSE4015 ,Human Computer Interaction,Dr. mana,2,1,1,5,3
1274,CSE4019 ,Image Processing,Dr. janvi,1,4,1,2,5
1275,CSE3009 ,Internet of Things,Dr. dhalchand,3,1,3,2,4
1276,CSE4022 ,Natural Language Processing,Dr. rukshan,2,3,2,4,3
1277,ECE3501,IoT Fundamentals,Dr. vickey,4,4,1,3,4
1278,CSE4004 ,Digital Forensics,Dr. rahil,2,1,0,3,2
1279,ECE3501,IoT Fundamentals,Dr. sorab,5,5,3,1,3
1280,CSE4015 ,Human Computer Interaction,Dr. chandra,3,5,5,5,5
1281,CSE1003 ,Digital Logic and Design,Dr. rajkiran,3,2,3,1,5
1282,CSE3502,Information Security Management,Dr. nutan,2,1,2,5,3
1283,ECE3502,IoT Domain Analyst,Dr. ranni,1,5,1,1,2
1284,CSE4001 ,Parallel and Distributed Computing,Dr. phoolwati,5,5,3,5,2
1285,MAT1014,Discrete Mathematics and Graph Theory,Dr. beauty,2,4,2,2,3
1286,CSE3018 ,Content Based Image and Video Retrieval,Dr. janwi,5,4,2,3,5
1287,CSE2012,Design and analysis of algorithms,Dr. chandi,2,3,1,2,5
1288,CSE2001 ,Computer Architecture and Organization,Dr. dibya,1,5,1,1,2
1289,CSE3029 ,Game Programming,Dr. meenakshi,3,3,4,2,5
1290,MAT3004 ,Applied Linear Algebra,Dr. baggusingh,1,3,1,1,5
1291,MAT3004 ,Applied Linear Algebra,Dr. jeeren,3,5,2,4,5
1292,CSE4001 ,Parallel and Distributed Computing,Dr. bhiki,3,4,1,3,4
1293,MAT1014,Discrete Mathematics and Graph Theory,Dr. chatan,5,4,5,5,4
1294,ECE3501,IoT Fundamentals,Dr. parvti,3,3,2,2,2
1295,CSE3020 ,Data Visualization,Dr. jittender,5,5,1,3,4
1296,CSE3018 ,Content Based Image and Video Retrieval,Dr. sahna,5,1,1,4,5
1297,CSE3002 ,Internet and Web Programming,Dr. panku,5,1,3,2,5
1298,ECE3502,IoT Domain Analyst,Dr. kaari,2,2,2,4,5
1299,CSE3013 ,Artificial Intelligence,Dr. harak,4,5,1,5,4
1300,CSE3006 ,Embedded System Design,Dr. digamber,5,4,0,2,2
1301,CSE2004 ,Database Management Systems,Dr. kuwar,1,2,3,5,2
1302,CSE2023,Robotic Process Automation,Dr. arshla,2,3,3,4,4
1303,CSE2012,Design and analysis of algorithms,Dr. jina,4,5,3,5,3
1304,CSE1004 ,Network and Communication,Dr. pirmika,5,5,4,5,3
1305,CSE1007 ,Java Programming,Dr. radhamohan,1,3,2,4,5
1306,MAT1014,Discrete Mathematics and Graph Theory,Dr. pratibha,2,1,2,4,5
1307,CSE3011 ,Robotics and its Applications,Dr. kaushar,3,2,2,1,2
1308,CSE3025 ,Large Scale Data Processing,Dr. bhanweri,3,3,2,5,4
1309,MAT3004 ,Applied Linear Algebra,Dr. muntrin,3,3,2,2,3
1310,CSE1003 ,Digital Logic and Design,Dr. lta,2,4,2,5,3
1311,CSE3029 ,Game Programming,Dr. ruchika,1,2,2,1,5
1312,CSE3502,Information Security Management,Dr. guman,1,4,4,2,3
1313,CSE4014 ,High Performance Computing,Dr. puspa,3,2,1,1,2
1314,CSE2004 ,Database Management Systems,Dr. nasrudeen,3,2,5,5,5
1315,MAT1014,Discrete Mathematics and Graph Theory,Dr. chunaram,4,2,1,2,2
1316,CSE1007 ,Java Programming,Dr. chtarpal,5,2,2,4,2
1317,CSE4001 ,Parallel and Distributed Computing,Dr. deepshikha,1,1,2,2,5
1318,CSE4004 ,Digital Forensics,Dr. chitu,5,3,1,2,5
1319,MAT3004 ,Applied Linear Algebra,Dr. chinki,4,4,1,4,3
1320,CSE3020 ,Data Visualization,Dr. muslim,5,5,1,4,4
1321,CSE3018 ,Content Based Image and Video Retrieval,Dr. faiyaaz,3,5,1,2,3
1322,CSE2013,Theory of Computation,Dr. nasrul,1,1,1,3,2
1323,CSE3505,Foundations of Data Analytics,Dr. badan,2,3,3,1,5
1324,CSE3501,Information Security Analysis and Audit,Dr. unnati,2,1,2,2,3
1325,CSE4015 ,Human Computer Interaction,Dr. banshi,4,5,1,1,4
1326,CSE2014,Compiler Design,Dr. abhishak,3,2,3,2,3
1327,CSE4015 ,Human Computer Interaction,Dr. lakhami,2,2,2,3,4
1328,CSE2023,Robotic Process Automation,Dr. ashif,3,2,1,5,4
1329,CSE3018 ,Content Based Image and Video Retrieval,Dr. karishan,5,1,0,5,3
1330,CSE3002 ,Internet and Web Programming,Dr. rimpi,1,5,0,5,2
1331,CSE2013,Theory of Computation,Dr. anushka,3,5,2,2,4
1332,CSE3501,Information Security Analysis and Audit,Dr. siddarth,3,2,1,3,3
1333,CSE2012,Design and analysis of algorithms,Dr. soam,3,3,3,5,4
1334,CSE2001 ,Computer Architecture and Organization,Dr. buhan,2,2,1,5,5
1335,CSE3506,Essentials of Data Analytics,Dr. shanu,4,2,1,1,5
1336,CSE4022 ,Natural Language Processing,Dr. aaftab,1,4,0,4,5
1337,MAT1014,Discrete Mathematics and Graph Theory,Dr. chhedilal,5,1,1,2,5
1338,CSE3011 ,Robotics and its Applications,Dr. bablu,4,4,2,3,5
1339,EEE1001,Basic Electrical and Electronics Engineering,Dr. fuli,4,1,2,1,2
1340,CSE3502,Information Security Management,Dr. sheikhsai,1,3,0,1,5
1341,CSE3029 ,Game Programming,Dr. layman,4,5,2,3,2
1342,ECE3502,IoT Domain Analyst,Dr. dhurpati,1,1,2,4,5
1343,CSE4004 ,Digital Forensics,Dr. gyanender,5,4,4,1,5
1344,CSE3009 ,Internet of Things,Dr. parem,4,3,1,2,4
1345,CSE3009 ,Internet of Things,Dr. vishal,5,5,2,1,5
1346,CSE1003 ,Digital Logic and Design,Dr. rajbir,3,3,2,5,3
1347,CSE2011 ,Data Structures and Algorithms,Dr. deni,3,2,4,3,3
1348,CSE3018 ,Content Based Image and Video Retrieval,Dr. laliya,1,2,2,2,2
1349,CSE3024 ,Web Mining,Dr. nasir,5,5,3,3,4
1350,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. afrin,1,3,2,5,3
1351,CSE4014 ,High Performance Computing,Dr. arsad,5,3,3,1,4
1352,CSE4001 ,Parallel and Distributed Computing,Dr. rambrij,1,5,3,5,4
1353,CSE3011 ,Robotics and its Applications,Dr. aoosaf,1,2,2,4,2
1354,CSE3006 ,Embedded System Design,Dr. afarin,4,4,1,4,2
1355,CSE1007 ,Java Programming,Dr. ankush,3,1,2,1,4
1356,CSE3020 ,Data Visualization,Dr. jalwad,3,5,0,2,5
1357,CSE4004 ,Digital Forensics,Dr. numesh,5,5,4,4,5
1358,CSE1004 ,Network and Communication,Dr. naushi,5,1,2,2,4
1359,CSE3505,Foundations of Data Analytics,Dr. nandni,2,2,3,3,5
1360,CSE2023,Robotic Process Automation,Dr. phooleshwar,5,5,2,1,3
1361,CSE2001 ,Computer Architecture and Organization,Dr. sunali,5,3,2,5,3
1362,CSE2011 ,Data Structures and Algorithms,Dr. gjender,2,2,2,4,3
1363,CSE4011 ,Virtualization,Dr. deva,2,3,2,2,4
1364,CSE2014,Compiler Design,Dr. gaitri,1,4,4,5,5
1365,CSE3021 ,Social and Information Networks,Dr. raziya,4,4,4,1,4
1366,CSE3025 ,Large Scale Data Processing,Dr. dharmendera,4,1,1,1,4
1367,CSE3029 ,Game Programming,Dr. mamraj,4,2,4,3,5
1368,CSE3020 ,Data Visualization,Dr. kamla,1,2,5,2,5
1369,MAT1014,Discrete Mathematics and Graph Theory,Dr. amrjeet,1,3,3,5,4
1370,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. nathuram,1,1,3,3,5
1371,CSE4001 ,Parallel and Distributed Computing,Dr. dikshant,2,2,4,1,5
1372,CSE4004 ,Digital Forensics,Dr. bhusan,2,4,1,5,2
1373,CSE3001 ,Software Engineering,Dr. bechan,2,3,1,3,4
1374,CSE4011 ,Virtualization,Dr. bhagwana,4,4,1,2,5
1375,CSE3029 ,Game Programming,Dr. hera,1,5,3,3,4
1376,CSE2013,Theory of Computation,Dr. anikesh,5,2,1,3,5
1377,CSE2013,Theory of Computation,Dr. bhawan,2,3,2,5,3
1378,EEE1001,Basic Electrical and Electronics Engineering,Dr. samaiali,2,4,4,3,4
1379,CSE1007 ,Java Programming,Dr. amarchand,1,2,1,4,2
1380,CSE3505,Foundations of Data Analytics,Dr. kaushar,2,5,1,4,3
1381,CSE3506,Essentials of Data Analytics,Dr. mubashir,4,3,0,2,5
1382,CSE3006 ,Embedded System Design,Dr. sangita,4,3,1,3,3
1383,CSE3020 ,Data Visualization,Dr. awshin,1,3,5,4,5
1384,CSE2012,Design and analysis of algorithms,Dr. murti,5,3,3,3,5
1385,EEE1001,Basic Electrical and Electronics Engineering,Dr. subham,3,3,2,2,4
1386,CSE2014,Compiler Design,Dr. gaytree,4,4,0,2,3
1387,MAT2002,Applications of Differential and Difference Equations,Dr. malkeet,1,3,0,3,2
1388,CSE3013 ,Artificial Intelligence,Dr. akbari,4,2,2,4,5
1389,CSE1007 ,Java Programming,Dr. milkhi,5,4,2,4,4
1390,CSE3018 ,Content Based Image and Video Retrieval,Dr. kirann,4,2,3,2,5
1391,CSE3013 ,Artificial Intelligence,Dr. furkhan,2,3,4,5,5
1392,CSE4022 ,Natural Language Processing,Dr. taran,1,5,2,5,3
